column_a,code,browser,cldr_short_name,category
2295,U+1F4AF,💯,hundred points,alphanum
2296,U+1F520,🔠,input latin uppercase,alphanum
2297,U+1F521,🔡,input latin lowercase,alphanum
2298,U+1F522,🔢,input numbers,alphanum
2299,U+1F523,🔣,input symbols,alphanum
2300,U+1F524,🔤,input latin letters,alphanum
2301,U+1F170,🅰,A button (blood type),alphanum
2302,U+1F18E,🆎,AB button (blood type),alphanum
2303,U+1F171,🅱,B button (blood type),alphanum
2304,U+1F191,🆑,CL button,alphanum
2305,U+1F192,🆒,COOL button,alphanum
2306,U+1F193,🆓,FREE button,alphanum
2307,U+2139,ℹ,information,alphanum
2308,U+1F194,🆔,ID button,alphanum
2309,U+24C2,Ⓜ,circled M,alphanum
2310,U+1F195,🆕,NEW button,alphanum
2311,U+1F196,🆖,NG button,alphanum
2312,U+1F17E,🅾,O button (blood type),alphanum
2313,U+1F197,🆗,OK button,alphanum
2314,U+1F17F,🅿,P button,alphanum
2315,U+1F198,🆘,SOS button,alphanum
2316,U+1F199,🆙,UP! button,alphanum
2317,U+1F19A,🆚,VS button,alphanum
2318,U+1F201,🈁,Japanese “here” button,alphanum
2319,U+1F202,🈂,Japanese “service charge” button,alphanum
2320,U+1F237,🈷,Japanese “monthly amount” button,alphanum
2321,U+1F236,🈶,Japanese “not free of charge” button,alphanum
2322,U+1F22F,🈯,Japanese “reserved” button,alphanum
2323,U+1F250,🉐,Japanese “bargain” button,alphanum
2324,U+1F239,🈹,Japanese “discount” button,alphanum
2325,U+1F21A,🈚,Japanese “free of charge” button,alphanum
2326,U+1F232,🈲,Japanese “prohibited” button,alphanum
2327,U+1F251,🉑,Japanese “acceptable” button,alphanum
2328,U+1F238,🈸,Japanese “application” button,alphanum
2329,U+1F234,🈴,Japanese “passing grade” button,alphanum
2330,U+1F233,🈳,Japanese “vacancy” button,alphanum
2331,U+3297,㊗,Japanese “congratulations” button,alphanum
2332,U+3299,㊙,Japanese “secret” button,alphanum
2333,U+1F23A,🈺,Japanese “open for business” button,alphanum
2334,U+1F235,🈵,Japanese “no vacancy” button,alphanum
1568,U+1F438,🐸,frog face,animal_amphibian
1556,U+1F983,🦃,turkey,animal_bird
1557,U+1F414,🐔,chicken,animal_bird
1558,U+1F413,🐓,rooster,animal_bird
1559,U+1F423,🐣,hatching chick,animal_bird
1560,U+1F424,🐤,baby chick,animal_bird
1561,U+1F425,🐥,front-facing baby chick,animal_bird
1562,U+1F426,🐦,bird,animal_bird
1563,U+1F427,🐧,penguin,animal_bird
1564,U+1F54A,🕊,dove,animal_bird
1565,U+1F985,🦅,eagle,animal_bird
1566,U+1F986,🦆,duck,animal_bird
1567,U+1F989,🦉,owl,animal_bird
1589,U+1F40C,🐌,snail,animal_bug
1590,U+1F98B,🦋,butterfly,animal_bug
1591,U+1F41B,🐛,bug,animal_bug
1592,U+1F41C,🐜,ant,animal_bug
1593,U+1F41D,🐝,honeybee,animal_bug
1594,U+1F41E,🐞,lady beetle,animal_bug
1596,U+1F577,🕷,spider,animal_bug
1597,U+1F578,🕸,spider web,animal_bug
1598,U+1F982,🦂,scorpion,animal_bug
1508,U+1F435,🐵,monkey face,animal_mammal
1509,U+1F412,🐒,monkey,animal_mammal
1510,U+1F98D,🦍,gorilla,animal_mammal
1511,U+1F436,🐶,dog face,animal_mammal
1512,U+1F415,🐕,dog,animal_mammal
1513,U+1F429,🐩,poodle,animal_mammal
1514,U+1F43A,🐺,wolf face,animal_mammal
1515,U+1F98A,🦊,fox face,animal_mammal
1516,U+1F431,🐱,cat face,animal_mammal
1517,U+1F408,🐈,cat,animal_mammal
1518,U+1F981,🦁,lion face,animal_mammal
1519,U+1F42F,🐯,tiger face,animal_mammal
1520,U+1F405,🐅,tiger,animal_mammal
1521,U+1F406,🐆,leopard,animal_mammal
1522,U+1F434,🐴,horse face,animal_mammal
1523,U+1F40E,🐎,horse,animal_mammal
1524,U+1F984,🦄,unicorn face,animal_mammal
1526,U+1F98C,🦌,deer,animal_mammal
1527,U+1F42E,🐮,cow face,animal_mammal
1528,U+1F402,🐂,ox,animal_mammal
1529,U+1F403,🐃,water buffalo,animal_mammal
1530,U+1F404,🐄,cow,animal_mammal
1531,U+1F437,🐷,pig face,animal_mammal
1532,U+1F416,🐖,pig,animal_mammal
1533,U+1F417,🐗,boar,animal_mammal
1534,U+1F43D,🐽,pig nose,animal_mammal
1535,U+1F40F,🐏,ram,animal_mammal
1536,U+1F411,🐑,ewe,animal_mammal
1537,U+1F410,🐐,goat,animal_mammal
1538,U+1F42A,🐪,camel,animal_mammal
1539,U+1F42B,🐫,two-hump camel,animal_mammal
1540,U+1F992,🦒,⊛ giraffe,animal_mammal
1541,U+1F418,🐘,elephant,animal_mammal
1542,U+1F98F,🦏,rhinoceros,animal_mammal
1543,U+1F42D,🐭,mouse face,animal_mammal
1544,U+1F401,🐁,mouse,animal_mammal
1545,U+1F400,🐀,rat,animal_mammal
1546,U+1F439,🐹,hamster face,animal_mammal
1547,U+1F430,🐰,rabbit face,animal_mammal
1548,U+1F407,🐇,rabbit,animal_mammal
1549,U+1F43F,🐿,chipmunk,animal_mammal
1551,U+1F987,🦇,bat,animal_mammal
1552,U+1F43B,🐻,bear face,animal_mammal
1553,U+1F428,🐨,koala,animal_mammal
1554,U+1F43C,🐼,panda face,animal_mammal
1555,U+1F43E,🐾,paw prints,animal_mammal
1577,U+1F433,🐳,spouting whale,animal_marine
1578,U+1F40B,🐋,whale,animal_marine
1579,U+1F42C,🐬,dolphin,animal_marine
1580,U+1F41F,🐟,fish,animal_marine
1581,U+1F420,🐠,tropical fish,animal_marine
1582,U+1F421,🐡,blowfish,animal_marine
1583,U+1F988,🦈,shark,animal_marine
1584,U+1F419,🐙,octopus,animal_marine
1585,U+1F41A,🐚,spiral shell,animal_marine
1586,U+1F980,🦀,crab,animal_marine
1587,U+1F990,🦐,shrimp,animal_marine
1588,U+1F991,🦑,squid,animal_marine
1569,U+1F40A,🐊,crocodile,animal_reptile
1570,U+1F422,🐢,turtle,animal_reptile
1571,U+1F98E,🦎,lizard,animal_reptile
1572,U+1F40D,🐍,snake,animal_reptile
1573,U+1F432,🐲,dragon face,animal_reptile
1574,U+1F409,🐉,dragon,animal_reptile
2178,U+2B06,⬆,up arrow,arrow
2179,U+2197,↗,up-right arrow,arrow
2180,U+27A1,➡,right arrow,arrow
2181,U+2198,↘,down-right arrow,arrow
2182,U+2B07,⬇,down arrow,arrow
2183,U+2199,↙,down-left arrow,arrow
2184,U+2B05,⬅,left arrow,arrow
2185,U+2196,↖,up-left arrow,arrow
